id,image_type,annotation_1,annotation_2
no2,painting,"A grand still life with two blue and white porcelain cups on a green cloth flanking a large silver tureen, among gold platters, silver ewers and piled fruit","French baroque buffet painting by Desportes with blue and white porcelain bowls among elaborate silver and gold vessels, flowers and a sculptural mask"
no3,painting,"A dark still life with a partially hidden blue and white porcelain bowl of fruit on the right, beside a red lobster, grapes, melon and a tall ornate glass goblet","Dutch still life by Abraham van Beyeren with a blue and white bowl barely visible among grapes, peaches and luxurious glassware in deep shadow"
m1,painting,"A dark still life painting with a tilted blue and white porcelain bowl of fruit in the center left, with a lemon peel hanging over the rim, beside wine glasses on a wooden table","Dutch still life by Willem Kalf with a blue and white Wanli bowl balancing on bread, surrounded by glassware and a Turkish carpet in deep shadow"
no1,painting,"A dark banquet still life with a small blue-grey porcelain jug barely visible behind a red lobster in the center, among gold cups, silver pitchers and fruit",Dutch banquet scene by Jan Davidsz de Heem with a nearly hidden blue and white porcelain piece obscured by a lobster and surrounding luxury objects
no4,painting,"A Renaissance feast scene with a woman holding a blue and white dish, a man balancing one on his head, and another man with a blue and white cup",Outdoor mythological painting by Bellini and Titian with Chinese porcelain held by figures feasting among trees
m11,painting,"A bright banquet still life with a large blue and white porcelain bowl of peaches on the right and a small blue and white dish of olives in the back center, among pewter plates, lemons, bread and a peacock pie","Dutch still life by Pieter Claesz with Wanli porcelain bowls on a white tablecloth alongside pewter dishes, a wine glass and an elaborate peacock pie with feathers"
m12,painting,"A dark still life painting with a tilted blue and white porcelain bowl of oranges and peaches in the center, with lemon peel, wine glasses and a Turkish carpet","Dutch still life by Willem Kalf with a tipped Wanli porcelain bowl revealing blue and white decoration, among fruit and glassware against a dark background"
m10,painting,"A dark still life painting with a blue and white porcelain lidded jar with figures on it in the right center, beside a large nautilus shell cup, a lemon and a pomegranate","Dutch still life after Willem Kalf with a Wanli porcelain covered bowl partially visible behind a nautilus cup, against deep shadow with a red carpet"
m9,painting,"A still life painting on a red tablecloth with a blue and white porcelain bowl of grapes in the lower left, beside a large basket of grapes, dead game birds and a golden tazza of figs","Flemish still life by Frans Snyders with a Wanli bowl in the lower left corner among abundant grapes, pheasants and partridges on a bright red cloth"
m7,painting,"A bright still life painting with two large blue and white porcelain plates visible inside a wicker basket overflowing with grapes, apples, plums and other fruits","Dutch still life by Balthasar van der Ast with Wanli porcelain plates used as fruit dishes inside a basket, on a light background with scattered fruits and cherries"
m8,painting,"A bright still life painting with multiple blue and white porcelain pieces: a large bowl of sweets in the lower right, a footed dish of candies in the center, and smaller bowls of raisins and nuts in the background, beside oysters on a pewter plate","Flemish still life by Osias Beert with several Wanli porcelain bowls and a ceramic tazza arranged across a table with oysters, fruit and wine glasses"
o4,painting,"A still life painting with a large blue and white porcelain bowl full of red strawberries in the center, with a carnation flower and butterfly on top, cherries and currants scattered on a wooden table","Flemish still life with a prominent Wanli bowl as the central subject, its blue and white geometric rim pattern clearly visible against dark background and red berries"
m6,painting,"A folk art painting of a fruit bowl on a wooden table with two small blue and white plates with knives on either side, framed by dark blue curtains",American still life painting with two possible porcelain plates with blue decoration flanking a large copper bowl of fruit on a table
m4,painting,"A still life painting with a blue and white porcelain plate of fruit in the lower center and a small blue and white cup above it, among grapes, melon, a golden goblet and ferrets on a stone table","Flemish banquet still life with blue and white porcelain pieces among abundant fruit, flowers, a parrot and a landscape background with columns"
m5g,painting,"A dark still life painting with a Chinese porcelain teapot with muted blue and brown figures on a scalloped white stand, beside a small teacup and saucer, a large silver ginger jar and a candlestick","Dutch-style pronk still life with a faded blue and white porcelain teapot and teacup among silver vessels, a lacquer tea caddy and a candle against a dark background"
o2,painting,"A painting of a shop interior filled with dozens of blue and white porcelain vases, jars and bowls of various sizes arranged on the floor and shelves, among lacquer cabinets, paintings and figures","Dutch fan painting showing an imaginary Chinese export goods shop crowded with blue and white porcelain vessels, screens and decorative objects"
m3,painting,"A dark still life painting with a tilted blue and white porcelain bowl of peaches and an orange on the right, beside an ornate glass goblet and silver platter on a stone table","Dutch still life by Willem Kalf with a blue and white bowl of fruit emerging from deep shadow, next to glassware and a rich carpet"
m2,painting,"A dark still life painting with a tilted blue and white porcelain bowl of fruit in the right center, among a silver jug, ham, grapes and peaches on a draped table",Dutch Golden Age still life by Abraham van Beyeren with a blue and white bowl surrounded by silver vessels and fruit against a dark background
o3,painting,"A still life painting with three blue and white porcelain pieces in the lower center to right: a small plate with butter, a cup with berries, and a larger dish with meat","Flemish still life with blue and white porcelain among dark plain plates, a wicker basket and earthenware on a crowded table of food"
o1,painting,"dark still life painting with a large blue and white porcelain jar on the right side behind an orange, with glass goblets and a silver plate on a table","Dutch Golden Age still life by Willem Kalf with a prominent blue and white ginger jar with floral decoration against a dark background, alongside luxury objects"
c6,photograph,"A large blue and white Kraak porcelain plate seen from above, with a warrior figure holding axes in the center, surrounded by wide paneled rim with alternating scenes of figures, flowers and tulips",Chinese Ming dynasty Jingdezhen Kraak ware dish with narrative figure scene in the center and dense decorative panels with floral and figural motifs on the border
c4,photograph,"A blue and white lobed dish with scalloped edges seen from above, with a central panel showing figures sitting among trees and bamboo, surrounded by landscape scenes with people and clouds","German tin-glazed earthenware dish in Delft style imitating Japanese Kraak porcelain, with Chinese-inspired figures in landscape scenes and a lobed metalwork-derived shape"
c2,photograph,"A blue and white Delft plate seen from above with dense floral decoration in the center showing large flowers and a bird, surrounded by paneled rim sections with flowers and geometric patterns","Dutch Delftware tin-glazed earthenware dish imitating Chinese Kraak porcelain, with paneled border design and bold cobalt blue painting on white ground"
c3,photograph,"A large blue and white Kraak porcelain dish seen from above, with a star-shaped central panel showing ducks on a pond with rocks and plants, surrounded by alternating panels of sunflowers and decorative emblems","Chinese export Kraak ware plate with dense paneled border decoration and birds in a garden scene in the center, made for the European market"
